name,value
5,283.591
10,250.817
6,214.127
2,189.987
9,117.557
8,117.526
14,101.256
4,11.245
15,8.741
7,-42.633
3,-107.918
11,-204.661
12,-230.835
13,-283.492
1,-425.308
