Judge,Candidate.Chosen,Candidate.Not.Chosen,Time.Taken,Date.Created
judge1,ENGOC_J560-05_Q_7_1,SHANG_ShgQP2011_Q_13_5,00:08:26,13/01/2015 16:45
judge1,IBO_IBOMATSDP1_Q_2a_5,ENGOC_J560-01_Q_3_1,00:03:08,13/01/2015 16:48
judge1,ENGAQ_43603F_Q_3b_3,IBO_IBOMATSDP2_Q_3a_6,00:00:47,13/01/2015 16:48
judge1,NEWZE_91031_Q_1aii_4,SCOTL_SCOSG-FP2_Q_12_1,00:00:55,13/01/2015 17:03
judge1,NEWZE_91037_Q_3b_6,ENGED_5MB3H01_Q_15ai_4,00:01:44,13/01/2015 17:05
judge1,ENGAQ_83003H_Q_10c_2,NETHE_ GT-0153-A-11_Q_13_1,00:01:01,13/01/2015 17:06
judge1,ONTAR_ONTG9Acad_Q_28_4,NETHE_ GT-0153-A-11_Q_15_4,00:00:40,13/01/2015 17:07
judge1,OLEVE_4024s11qp22_Q_3bii_5,ENGED_1MA12F_Q_11a_6,00:01:14,13/01/2015 17:08
judge1,OLEVE_4024s11qp22_Q_5d_1,ENGAQ_83002H_Q_11b_4,00:00:38,13/01/2015 17:09
judge1,ENGED_1MA13F_Q_3a_2,ENGWJ_4353-01_Q_2c_6,00:00:26,13/01/2015 17:09
judge1,NEWZE_91037_Q_2ciii_5,ONTAR_ONTG9Acad_Q_8_2,00:02:56,13/01/2015 17:12
judge1,ENGOC_J560-06_Q_13_3,ENGOC_J560-02_Q_11aii_6,00:00:41,13/01/2015 17:13
judge1,SCOTL_SCOSG-CP2_Q_1_3,ENGOC_J560-04_Q_3c_1,00:00:25,13/01/2015 17:13
judge1,IBO_IBOMATSDP2_Q_1bi_5,ENGED_5MB1F01_Q_2d_3,00:00:34,13/01/2015 17:14
judge1,OLEVE_4024s11qp12_Q_24cii_2,IGCSE_0580-42 _Q_6ai_6,00:00:36,13/01/2015 17:15
judge1,ENGAQ_83003H_Q_22_4,IBO_IBOMATSDP2_Q_6d_2,00:01:20,13/01/2015 17:16
judge1,OLEVE_4024s11qp22_Q_9di_2,HONGK_HKG2010CEP2_Q_7_2,00:01:32,13/01/2015 17:18
judge1,NEWZE_91031_Q_2biii_4,SHANG_ShgQP2011_Q_10_2,00:00:56,13/01/2015 17:18
judge1,ENGED_5MB2F01_Q_14a_2,ENGOC_J560-02_Q_4d_1,00:00:39,13/01/2015 17:19
judge1,ENGAQ_83002H_Q_19a_3,ENGWJ_4353-01_Q_8b_3,00:00:24,13/01/2015 17:20
judge1,OLEVE_4024s11qp22_Q_9ci_2,ENGOC_A503-02_Q_10b_2,00:00:52,13/01/2015 17:20
judge1,ENGAQ_83002F_Q_18_1,ENGAQ_43603F_Q_8a_1,00:00:26,13/01/2015 17:21
judge1,ENGED_5MB3H01_Q_6_4,IGCSE_0580-42 _Q_1cii_1,00:00:32,13/01/2015 17:21
judge1,OLEVE_4024s11qp12_Q_24ci_2,OLEVE_4024s11qp22_Q_7aiia_4,00:00:40,13/01/2015 17:22
judge1,IBO_IBOMATSDP2_Q_6e_2,ENGAQ_83001F_Q_11_4,00:00:28,13/01/2015 17:23
judge1,ENGED_5MB2H01_Q_3b_1,NEWZE_91028_Q_2f_2,00:00:59,13/01/2015 17:24
judge1,KOREA_KORG92011_Q_CR2a_2,ENGOC_A502-01_Q_8bii_6,00:00:30,13/01/2015 17:24
judge1,MASSA_MASG10-P2_Q_31d_2,ENGWJ_4352-02_Q_10b_5,00:00:55,13/01/2015 17:25
judge1,ENGAQ_ 43601H_Q_7c_5,ENGED_5MB2H01_Q_13_4,00:00:57,13/01/2015 17:26
judge1,ENGOC_A503-01-Q_16_3,ENGOC_J560-02_Q_1b_1,00:00:17,13/01/2015 17:27
judge1,HUNGA_HNGG10BA_Q_13_1,OLEVE_4024s11qp12_Q_21a_1,00:00:41,13/01/2015 17:27
judge1,ENGAQ_83002H_Q_18b_6,ENGED_5MB3F01_Q_6_3,00:00:29,13/01/2015 17:28
judge1,KOREA_KORG92011_Q_CR1a_4,NETHE_ GT-0153-A-11_Q_2_1,00:01:34,13/01/2015 17:29
judge1,ENGOC_A503-01-Q_9b_4,OLEVE_4024s11qp12_Q_23ai_1,00:00:21,13/01/2015 17:30
judge1,IBO_IBOMATSDP2_Q_4ci_3,ENGWJ_4352-01_Q_1c_1,00:01:04,13/01/2015 17:31
judge1,ENGOC_A503-02_Q_10a_2,ENGAQ_43603F_Q_2d_4,00:00:17,13/01/2015 17:31
judge1,IGCSE_0580-42 _Q_7b_4,ENGED_1MA11F_Q_20bii_6,00:01:50,13/01/2015 17:33
judge1,ENGAQ_43601F_Q_5b_6,ENGED_5MB2F01_Q_11_1,00:01:16,13/01/2015 17:34
judge1,ENGWJ_4351-01_Q_1d_1,IBO_IBOMATSDP1_Q_12b_6,00:00:48,13/01/2015 17:35
judge1,ENGAQ_83003H_Q_20b_3,NEWZE_91027_Q_1a_2,00:00:24,13/01/2015 17:36
judge1,JAPAN_JPNY3QPA_Q_14b_5,IGCSE_0580-42 _Q_3aiv_4,00:01:35,13/01/2015 17:37
judge1,OLEVE_4024s11qp12_Q_6_4,ENGAQ_83001F_Q_23a_3,00:00:46,13/01/2015 17:38
judge1,IBO_IBOMATSDP2_Q_3c_6,ENGWJ_4352-01_Q_6cii_2,00:00:15,13/01/2015 17:38
judge1,ENGOC_J560-05_Q_13d_6,ENGED_1MA13H_Q_15c_1,00:02:18,13/01/2015 17:41
judge1,ENGAQ_83002H_Q_24_2,ENGED_1MA13F_Q_7c_3,00:00:16,13/01/2015 17:41
judge1,HUNGA_HNGG10BA_Q_45_4,HONGK_HKG2010CEP2_Q_6_2,00:01:22,13/01/2015 17:43
judge1,SCOTL_SCOSG-GP2_Q_12_4,ENGOC_A503-01-Q_6a_2,00:00:19,13/01/2015 17:43
