name,value
7,321.992
10,247.789
2,223.165
5,218.902
3,156.909
19,146.6
20,128.044
9,116.273
14,42.096
8,2.385
11,-6.526
4,-16.324
12,-112.8
1,-153.389
16,-159.093
15,-205.801
18,-219.125
17,-235.093
6,-241.069
13,-254.935
