path,split_corr,G_x,ssr_x
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split1.csv,0.8964376123444285,2.9711902886413557,0.8982496055810262
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split10.csv,0.8927064834268217,3.1351211321928294,0.9076552377786384
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split100.csv,0.917375404573867,2.859336546891498,0.8910177421191687
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split11.csv,0.9323447969445531,2.8115360435355403,0.8877001945006098
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split12.csv,0.8939802721229224,2.807122738288407,0.8873866019826905
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split13.csv,0.9079660506187919,2.9050935328466463,0.8940629535206385
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split14.csv,0.9143891334348915,2.9448387289341804,0.8966095707917688
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split15.csv,0.9270981501694424,3.084276035911096,0.9048774891729291
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split16.csv,0.922738634887677,2.8932065253981563,0.8932837486784566
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split17.csv,0.9194965027342581,3.1270037030674076,0.9072197176985268
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split18.csv,0.8866922644389018,3.1344257577213326,0.9076180453693945
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split19.csv,0.9241063326977624,2.6984835061613124,0.8792534953562597
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split2.csv,0.9150919667228131,2.9088537612285483,0.8943077337763726
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split20.csv,0.9678233978269943,2.935858348357885,0.8960419451133294
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split21.csv,0.9254244917992481,2.6669437244271013,0.8767347857698488
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split22.csv,0.9264649626657527,3.0641576785936695,0.9037449220037916
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split23.csv,0.8765392959409357,2.6551362419547764,0.8757725158054362
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split24.csv,0.9109178945478821,3.166250211946342,0.909298207252017
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split25.csv,0.9250271687244537,2.862562074244809,0.8912365081219552
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split26.csv,0.938179353223032,2.8533011775683907,0.8906066993031115
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split27.csv,0.9028810320313319,2.815679757608131,0.8879934901490837
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split28.csv,0.9121949319863005,3.043801281755004,0.9025789898001298
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split29.csv,0.8614160153274671,2.8656142049389506,0.8914429323868506
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split3.csv,0.9237461823238633,2.889384176216324,0.8930314357292649
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split30.csv,0.8503116342937767,3.0316852718342107,0.9018753156689902
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split31.csv,0.9257568190041466,2.982060987046421,0.8989152364609139
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split32.csv,0.9401205125143421,2.9448924425236074,0.896612952422015
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split33.csv,0.9215881526255925,2.9711320697417163,0.8982460237285802
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split34.csv,0.9855694860431502,3.091935776261374,0.9053036297285884
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split35.csv,0.9666656458930527,2.785962175457888,0.8858654030913438
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split36.csv,0.9482641228464526,2.7992784437945084,0.8868261035622739
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split37.csv,0.9365620703547134,2.9382201647989623,0.8961916638878099
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split38.csv,0.9156974211909696,3.0471497004078967,0.9027721724272472
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split39.csv,0.9034745436015607,3.1016412553007555,0.9058396238627352
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split4.csv,0.9451718539513774,2.9041978437175358,0.8940045262439558
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split40.csv,0.9074902883443184,2.976222906287887,0.8985585452084036
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split41.csv,0.8524088624847977,2.948618207739453,0.8968471255323607
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split42.csv,0.938457551601921,2.98963821238543,0.8993754904937803
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split43.csv,0.938865801403665,3.130377366577896,0.9074010837346723
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split44.csv,0.9149114595710948,3.1526931147660306,0.908587925585374
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split45.csv,0.8727768087525262,2.9989791810876003,0.8999387237611879
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split46.csv,0.9517504644928431,3.1238274679478204,0.907048494529673
data-cache/StadthagenGonzalez2019_eng-to-spa/split-halves/split47.csv,0.919635706492305,3.02578153528775,0.9015297733671219
