name,value
15,385.874
14,202.423
1,200.163
8,164.821
20,127.461
4,124.898
9,89.898
7,62.122
16,34.678
17,27.678
12,23.46
19,-6.434
10,-51.052
11,-63.248
18,-81.027
3,-104.179
6,-161.113
13,-185.229
2,-372.538
5,-418.656
