name,value
H2,211.192
H3,188.05
H4,151.465
F3,110.414
E1,109.152
F2,60.982
F1,42.043
H1,40.437
H5,23.928
G5,17.999
F5,-8.276
E4,-14.055
E5,-33.651
F4,-68.399
G4,-69.011
E3,-76.108
E2,-130.193
G2,-141.981
G1,-191.632
G3,-222.356
