file,path,split_corr,data,G_x,ssr_x,G_y,ssr_y
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split1.csv,0.9775175878296188,,3.102918138708388,0.9059098137754988,3.1744619565900933,0.9097245501250882
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split10.csv,0.9646542128345658,,3.0113326939586624,0.9006766363792015,2.9499635128091413,0.8969314931330642
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split100.csv,0.9959750544968852,,3.199584470730595,0.9110109750071347,2.851678182035772,0.8904957836170118
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split11.csv,0.9580333808982217,,2.950885530860132,0.8969892578206695,2.946381719002608,0.8967066488566365
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split12.csv,0.9783295636699292,,3.1618402879310925,0.9090680438899932,3.1650311276476994,0.909234665200074
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split13.csv,0.956230474048934,,2.756069619565821,0.8836657356829052,3.3101242908495516,0.9163664418528837
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split14.csv,0.9646542128345656,,2.9499635128091413,0.8969314931330642,3.0113326939586633,0.9006766363792015
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split15.csv,0.9959750544968852,,3.1995844707305965,0.9110109750071348,2.851678182035771,0.8904957836170118
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split16.csv,0.99741753147552,,2.868587419553384,0.891643477636819,3.1444245062314113,0.9081507525130268
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split17.csv,0.9959750544968852,,3.1995844707305965,0.9110109750071348,2.851678182035772,0.8904957836170118
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split18.csv,0.9646542128345656,,3.0113326939586633,0.9006766363792015,2.9499635128091413,0.8969314931330642
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split19.csv,0.99741753147552,,3.144424506231411,0.9081507525130268,2.868587419553382,0.8916434776368188
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split2.csv,0.956230474048934,,3.310124290849553,0.9163664418528839,2.7560696195658205,0.8836657356829051
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split20.csv,0.956230474048934,,3.3101242908495516,0.9163664418528837,2.7560696195658223,0.8836657356829053
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split21.csv,0.9775175878296188,,3.1029181387083877,0.9059098137754987,3.1744619565900933,0.9097245501250882
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split22.csv,0.9783295636699292,,3.1618402879310925,0.9090680438899932,3.1650311276476994,0.909234665200074
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split23.csv,0.9646542128345664,,2.949963512809134,0.8969314931330638,3.0113326939586633,0.9006766363792015
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split24.csv,0.9959750544968852,,3.1995844707305965,0.9110109750071348,2.851678182035772,0.8904957836170118
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split25.csv,0.9783295636699292,,3.1618402879310925,0.9090680438899932,3.1650311276477083,0.9092346652000745
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split26.csv,0.9783295636699292,,3.1650311276477083,0.9092346652000745,3.1618402879310925,0.9090680438899932
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split27.csv,0.9521736809682756,,3.3523310575321137,0.9182881265723932,2.7294466397855457,0.8816551095228145
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split28.csv,0.9562304740489344,,3.3101242908495516,0.9163664418528837,2.7560696195658236,0.8836657356829054
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split29.csv,0.9959750544968852,,3.1995844707305965,0.9110109750071348,2.851678182035772,0.8904957836170118
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split3.csv,0.99741753147552,,2.868587419553382,0.8916434776368188,3.1444245062314113,0.9081507525130268
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split30.csv,0.9783295636699292,,3.1650311276477083,0.9092346652000745,3.1618402879310947,0.9090680438899933
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split31.csv,0.9562304740489344,,3.3101242908495516,0.9163664418528837,2.7560696195658236,0.8836657356829054
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split32.csv,0.99741753147552,,3.1444245062314113,0.9081507525130268,2.868587419553384,0.891643477636819
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split33.csv,0.9521736809682756,,2.729446639785545,0.8816551095228143,3.3523310575321137,0.9182881265723932
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split34.csv,0.978329563669929,,3.1650311276477083,0.9092346652000745,3.1618402879310934,0.9090680438899932
data-cache/AlMaimani2017/split_halves.csv,data-cache/AlMaimani2017/split-halves/split35.csv,0.9959750544968852,,2.851678182035772,0.8904957836170118,3.1995844707305965,0.9110109750071348
