judging_session,iteration,mcalc_corr,ssr_x
AlMaimani2017,1,0.980528189113466,0.9528278124504648
AlMaimani2017,10,0.9951488738376454,0.9562572457873458
AlMaimani2017,100,0.9927670867340046,0.9595012548527097
AlMaimani2017,101,0.9971862563297106,0.9564190665961232
AlMaimani2017,102,0.9940431408941216,0.9557380691077044
AlMaimani2017,103,0.9869797051176058,0.9275444749533842
AlMaimani2017,104,0.9983247805591636,0.9539124428073432
AlMaimani2017,105,0.9922647115983564,0.9572979847089458
AlMaimani2017,106,0.9943161918754538,0.9559225436880376
AlMaimani2017,107,0.9887666419569108,0.9569852737496178
AlMaimani2017,108,0.9944602167626516,0.9551568179715746
AlMaimani2017,109,0.9956110774042498,0.9581230175378536
AlMaimani2017,11,0.9894740012858592,0.9539093248856484
AlMaimani2017,110,0.9874669854668812,0.9507870336008956
AlMaimani2017,111,0.9969951063272046,0.923772669694058
AlMaimani2017,112,0.9938263281959148,0.9466852018183188
AlMaimani2017,113,0.9851974648941886,0.9564256464494884
AlMaimani2017,114,0.9940327858222856,0.9567299813337578
AlMaimani2017,115,0.9897828956020788,0.9551873120032268
AlMaimani2017,116,0.9830311929836206,0.9510356390483038
AlMaimani2017,117,0.9987458850377297,0.9498058262515084
AlMaimani2017,118,0.9959940763871684,0.9547772171308962
AlMaimani2017,119,0.9919940536998568,0.9526456029210432
AlMaimani2017,12,0.9961995117588704,0.9512456548179504
AlMaimani2017,120,0.9980613153747502,0.9460296031840356
AlMaimani2017,121,0.9928959336430704,0.950955895217141
AlMaimani2017,122,0.9992487245163244,0.9520108452151922
AlMaimani2017,123,0.9793159932612258,0.914392801855474
AlMaimani2017,124,0.992169985556558,0.9577356481955918
AlMaimani2017,125,0.990170206347351,0.9588441378897764
AlMaimani2017,126,0.9968654897162152,0.9496944827939628
AlMaimani2017,127,0.9926716783846956,0.9549056414899014
AlMaimani2017,128,0.999937724895476,0.9246168298122976
AlMaimani2017,129,0.9929914414477552,0.954835531869384
AlMaimani2017,13,0.9860398184237592,0.9423867203384138
AlMaimani2017,130,0.9970710373654472,0.9198981363441774
AlMaimani2017,131,0.999523677241814,0.9616229713714624
AlMaimani2017,132,0.9959357683309727,0.959614991660692
AlMaimani2017,133,0.993325089978504,0.9500575016782316
AlMaimani2017,134,0.9537243037171396,0.9667733474017832
AlMaimani2017,135,0.9881923001655128,0.9123044274915836
AlMaimani2017,136,0.9915101255181314,0.9529926636610472
AlMaimani2017,137,0.9949451073943544,0.9548600974428127
AlMaimani2017,138,0.985770425231308,0.9131842859030344
AlMaimani2017,139,0.9931325612852484,0.9463445144630852
AlMaimani2017,14,0.995855833015894,0.9552940145846792
AlMaimani2017,140,0.992303488016486,0.956340262013102
AlMaimani2017,141,0.9944188996001886,0.94701435371467
AlMaimani2017,142,0.99236574915245,0.9572026420534948
AlMaimani2017,143,0.9998910811751928,0.9547936530332578
AlMaimani2017,144,0.993220663246341,0.9493146509092348
AlMaimani2017,145,0.9933090644616416,0.9620371011506408
AlMaimani2017,146,0.989708877962188,0.9208138595925552
AlMaimani2017,147,0.9789216270975072,0.9577746474609924
AlMaimani2017,148,0.9896724295841524,0.952828347647475
AlMaimani2017,149,0.9974082799207716,0.9545469117663112
AlMaimani2017,15,0.9784265805804996,0.9531944408823724
AlMaimani2017,150,0.997594050079845,0.9212420786183964
AlMaimani2017,16,0.9929042009576032,0.959736802628244
AlMaimani2017,17,0.9964091335947602,0.9537455221499664
AlMaimani2017,18,0.9989941098860404,0.924568517682801
AlMaimani2017,19,0.9931343815016188,0.9223209457108104
AlMaimani2017,2,0.995899868283756,0.9501552986697424
AlMaimani2017,20,0.9986075768885576,0.9511187880236148
AlMaimani2017,21,0.9913989057654068,0.9473020756828288
AlMaimani2017,22,0.9851042688294191,0.917323769823751
AlMaimani2017,23,0.9994482640387308,0.9509299403410764
AlMaimani2017,24,0.9998034366389374,0.9512314299489846
AlMaimani2017,25,0.9931297792328284,0.9473111110477282
AlMaimani2017,26,0.99798312771637,0.9599457930198754
AlMaimani2017,27,0.9854501319078484,0.949567872259548
AlMaimani2017,28,0.9989949111881148,0.9595872156491836
AlMaimani2017,29,0.9971357690353624,0.958219565997306
AlMaimani2017,3,0.9914242491915516,0.9258370990163378
AlMaimani2017,30,0.9928239861864572,0.9516816599790874
AlMaimani2017,31,0.9936677808103906,0.9507672660708713
AlMaimani2017,32,0.9529605578277714,0.9538869781210932
AlMaimani2017,33,0.9972032944263908,0.9513701450806036
AlMaimani2017,34,0.9966970607297528,0.954072795279018
AlMaimani2017,35,0.95412863151988,0.9523763975411198
AlMaimani2017,36,0.9999803958470628,0.9513127584811328
AlMaimani2017,37,0.9969719643317552,0.952486629847752
AlMaimani2017,38,0.9921730037778372,0.9266411098953818
AlMaimani2017,39,0.9883094663164136,0.9528184368990362
AlMaimani2017,4,0.9987971065195024,0.95892854437463515
AlMaimani2017,40,0.992868876498862,0.9556356723372976
AlMaimani2017,41,0.9885854247381504,0.9533633874263998
AlMaimani2017,42,0.9994010371750912,0.9230524840871196
AlMaimani2017,43,0.9987292730525174,0.9518941141883814
AlMaimani2017,44,0.994160685022087,0.9578197439506398
AlMaimani2017,45,0.9989751522907376,0.95191367457941
AlMaimani2017,46,0.998693230388849,0.9461581963592592
AlMaimani2017,47,0.9952700638176624,0.9573289867118888
AlMaimani2017,48,0.9970127128115276,0.9530586839046976
AlMaimani2017,49,0.9814353037114972,0.9612144654874843
AlMaimani2017,5,0.9841518112534448,0.9534508092696252
AlMaimani2017,50,0.996460025738084,0.9587140994748324
AlMaimani2017,51,0.9919433259497686,0.9590702468113592
AlMaimani2017,52,0.9986210137072744,0.9488556564911608
AlMaimani2017,53,0.991691658893222,0.9508799265281476
AlMaimani2017,54,0.969827914276088,0.9624666328501066
AlMaimani2017,55,0.9983630888858392,0.9441977656175348
AlMaimani2017,56,0.9976940761065896,0.9599731995020112
AlMaimani2017,57,0.9978905588016624,0.95385633505185
AlMaimani2017,58,0.9907389830988405,0.9562366941715608
AlMaimani2017,59,0.9959989332294892,0.9425834886253696
AlMaimani2017,6,0.999098154597454,0.9539100730433347
AlMaimani2017,60,0.9906576689612808,0.9560265185811232
AlMaimani2017,61,0.9976399122254442,0.9566404104767556
AlMaimani2017,62,0.989613118164752,0.9550865795595525
AlMaimani2017,63,0.983389900211174,0.96173146509946
AlMaimani2017,64,0.9838307356338571,0.9487726838042446
AlMaimani2017,65,0.999317061386293,0.9579834463466458
AlMaimani2017,66,0.980612475622525,0.9582322477394324
AlMaimani2017,67,0.986781788256145,0.952356200018674
AlMaimani2017,68,0.998984475630945,0.9511887330965484
AlMaimani2017,69,0.9989705136604335,0.954130885276083
AlMaimani2017,7,0.996795809847847,0.961590398911418
AlMaimani2017,70,0.9999365892028392,0.9508100825356536
AlMaimani2017,71,0.9940272150237374,0.9594305788245076
AlMaimani2017,72,0.999231069165147,0.9317964441789436
AlMaimani2017,73,0.9844235663216608,0.9548193667263268
AlMaimani2017,74,0.9968583045673444,0.9589092952484742
AlMaimani2017,75,0.9971851548878844,0.9565989617496548
AlMaimani2017,76,0.9880847025446876,0.9536940432657488
AlMaimani2017,77,0.9980894643119697,0.951162642145939
AlMaimani2017,78,0.999093795327396,0.9578377313677764
AlMaimani2017,79,0.9933396253910732,0.916255651034068
AlMaimani2017,8,0.9733326362153556,0.9088203697598696
AlMaimani2017,80,0.9906084816542348,0.9549230682779428
AlMaimani2017,81,0.9971888943286088,0.9515119368686824
AlMaimani2017,82,0.9889863629456692,0.9519069775511556
AlMaimani2017,83,0.98858529781202,0.9543306488496612
AlMaimani2017,84,0.9936040843943046,0.9541697061216846
