judging_session,iteration,split_corr,ssr_x
AlMaimani2017,1,0.9775175878296188,0.9059098137754988
AlMaimani2017,10,0.9646542128345658,0.9006766363792015
AlMaimani2017,100,0.9959750544968852,0.9110109750071348
AlMaimani2017,11,0.9580333808982217,0.8969892578206695
AlMaimani2017,12,0.9783295636699292,0.9090680438899932
AlMaimani2017,13,0.956230474048934,0.8836657356829052
AlMaimani2017,14,0.9646542128345656,0.8969314931330642
AlMaimani2017,15,0.9959750544968852,0.9110109750071348
AlMaimani2017,16,0.99741753147552,0.891643477636819
AlMaimani2017,17,0.9959750544968852,0.9110109750071348
AlMaimani2017,18,0.9646542128345656,0.9006766363792015
AlMaimani2017,19,0.99741753147552,0.9081507525130268
AlMaimani2017,2,0.956230474048934,0.916366441852884
AlMaimani2017,20,0.956230474048934,0.9163664418528836
AlMaimani2017,21,0.9775175878296188,0.9059098137754988
AlMaimani2017,22,0.9783295636699292,0.9090680438899932
AlMaimani2017,23,0.9646542128345664,0.8969314931330638
AlMaimani2017,24,0.9959750544968852,0.9110109750071348
AlMaimani2017,25,0.9783295636699292,0.9090680438899932
AlMaimani2017,26,0.9783295636699292,0.9092346652000745
AlMaimani2017,27,0.9521736809682756,0.9182881265723932
AlMaimani2017,28,0.9562304740489344,0.9163664418528836
AlMaimani2017,29,0.9959750544968852,0.9110109750071348
AlMaimani2017,3,0.99741753147552,0.8916434776368188
AlMaimani2017,30,0.9783295636699292,0.9092346652000745
AlMaimani2017,31,0.9562304740489344,0.9163664418528836
AlMaimani2017,32,0.99741753147552,0.9081507525130268
AlMaimani2017,33,0.9521736809682756,0.8816551095228143
AlMaimani2017,34,0.978329563669929,0.9092346652000745
AlMaimani2017,35,0.9959750544968852,0.8904957836170118
AlMaimani2017,36,0.9783295636699292,0.909234665200074
AlMaimani2017,37,0.99741753147552,0.9081507525130268
AlMaimani2017,38,0.978329563669929,0.9092346652000745
AlMaimani2017,39,0.99741753147552,0.9081507525130268
AlMaimani2017,4,0.9959750544968852,0.9110109750071348
AlMaimani2017,40,0.9775175878296192,0.909724550125089
AlMaimani2017,41,0.9959750544968852,0.8904957836170118
AlMaimani2017,42,0.956230474048934,0.8836657356829053
AlMaimani2017,43,0.9959750544968852,0.9110109750071348
AlMaimani2017,44,0.9775175878296188,0.9059098137754988
AlMaimani2017,45,0.99741753147552,0.891643477636819
AlMaimani2017,46,0.9580333808982214,0.8969892578206695
AlMaimani2017,47,0.956230474048934,0.9163664418528836
AlMaimani2017,48,0.956230474048934,0.8836657356829053
AlMaimani2017,49,0.956230474048934,0.8836657356829051
AlMaimani2017,5,0.956230474048934,0.9163664418528836
AlMaimani2017,50,0.99741753147552,0.891643477636819
AlMaimani2017,51,0.956230474048934,0.9163664418528836
AlMaimani2017,52,0.9959750544968852,0.9110109750071348
AlMaimani2017,53,0.9783295636699292,0.9090680438899932
AlMaimani2017,54,0.978329563669929,0.9092346652000745
AlMaimani2017,55,0.9783295636699292,0.909234665200074
AlMaimani2017,56,0.99741753147552,0.9081507525130268
AlMaimani2017,57,0.9783295636699292,0.9090680438899932
AlMaimani2017,58,0.9959750544968852,0.8904957836170118
AlMaimani2017,59,0.99741753147552,0.891643477636819
AlMaimani2017,6,0.9959750544968852,0.8904957836170118
AlMaimani2017,60,0.9959750544968852,0.9110109750071348
AlMaimani2017,61,0.9646542128345656,0.8969314931330642
AlMaimani2017,62,0.9580333808982217,0.8967066488566365
AlMaimani2017,63,0.956230474048934,0.9163664418528836
AlMaimani2017,64,0.977517587829619,0.909724550125089
AlMaimani2017,65,0.9521736809682756,0.8816551095228145
AlMaimani2017,66,0.9775175878296188,0.9097245501250882
AlMaimani2017,67,0.9783295636699292,0.909234665200074
AlMaimani2017,68,0.9580333808982217,0.8969892578206695
AlMaimani2017,69,0.9783295636699292,0.9092346652000745
AlMaimani2017,7,0.9959750544968852,0.8904957836170118
AlMaimani2017,70,0.9959750544968852,0.8904957836170118
AlMaimani2017,71,0.956230474048934,0.8836657356829053
AlMaimani2017,72,0.956230474048934,0.8836657356829053
AlMaimani2017,73,0.9959750544968852,0.8904957836170118
AlMaimani2017,74,0.99741753147552,0.891643477636819
AlMaimani2017,75,0.9521736809682756,0.9182881265723932
AlMaimani2017,76,0.99741753147552,0.891643477636819
AlMaimani2017,77,0.9646542128345662,0.8969314931330652
AlMaimani2017,78,0.978329563669929,0.9090680438899932
AlMaimani2017,79,0.9959750544968852,0.8904957836170118
AlMaimani2017,8,0.956230474048934,0.8836657356829052
AlMaimani2017,80,0.9521736809682756,0.8816551095228145
AlMaimani2017,81,0.9646542128345658,0.8969314931330642
AlMaimani2017,82,0.9959750544968852,0.9110109750071348
AlMaimani2017,83,0.9783295636699292,0.9090680438899932
AlMaimani2017,84,0.956230474048934,0.8836657356829052
AlMaimani2017,85,0.956230474048934,0.8836657356829053
AlMaimani2017,86,0.99741753147552,0.891643477636819
AlMaimani2017,87,0.9521736809682756,0.9182881265723932
AlMaimani2017,88,0.956230474048934,0.8836657356829051
AlMaimani2017,89,0.956230474048934,0.9163664418528836
AlMaimani2017,9,0.9959750544968852,0.9110109750071348
AlMaimani2017,90,0.9580333808982217,0.8967066488566365
AlMaimani2017,91,0.9959750544968852,0.8904957836170118
AlMaimani2017,92,0.9521736809682756,0.8816551095228145
AlMaimani2017,93,0.9959750544968852,0.9110109750071348
AlMaimani2017,94,0.9521736809682756,0.9182881265723932
AlMaimani2017,95,0.9959750544968852,0.8904957836170118
AlMaimani2017,96,0.956230474048934,0.9163664418528836
AlMaimani2017,97,0.9521736809682756,0.8816551095228145
AlMaimani2017,98,0.9521736809682754,0.8816551095228143
AlMaimani2017,99,0.9646542128345662,0.8969314931330652
Bisson2016_algebra,1,0.749347889033348,0.794890028361374
Bisson2016_algebra,10,0.6851214708101125,0.7899063121065844
Bisson2016_algebra,100,0.6753050370300707,0.7594091881620811
Bisson2016_algebra,11,0.7634229157812703,0.7781007870177249
Bisson2016_algebra,12,0.8087524985180659,0.7887544253668172
Bisson2016_algebra,13,0.7504464199267302,0.7985155367397122
Bisson2016_algebra,14,0.7398885035730141,0.7826990721118557
Bisson2016_algebra,15,0.8233704252421934,0.7818249158064127
Bisson2016_algebra,16,0.7524662207379323,0.7746982185090098
Bisson2016_algebra,17,0.7067742939084278,0.7871281941298357
Bisson2016_algebra,18,0.7621193000047962,0.7806340617957535
Bisson2016_algebra,19,0.81733702004615,0.7981016354571989
Bisson2016_algebra,2,0.6680269902153729,0.8089862229626092
Bisson2016_algebra,20,0.7023080844024802,0.7856013197098727
Bisson2016_algebra,21,0.7524662207379323,0.7779186391662115
Bisson2016_algebra,22,0.7582573057387115,0.8140707950355316
Bisson2016_algebra,23,0.7488138095464565,0.7647735897867234
Bisson2016_algebra,24,0.7394836082776757,0.774986281341662
Bisson2016_algebra,25,0.7488138095464565,0.8113334850892753
Bisson2016_algebra,26,0.7265722057332318,0.7662580675917703
Bisson2016_algebra,27,0.7398885035730141,0.8059513131362414
Bisson2016_algebra,28,0.7037032474449084,0.7940621016996833
Bisson2016_algebra,29,0.637457419017489,0.8002056252936066
Bisson2016_algebra,3,0.7709612457687901,0.8089409553893039
Bisson2016_algebra,30,0.7454395893141524,0.8072008569717332
Bisson2016_algebra,31,0.706171757607046,0.7825759581704825
Bisson2016_algebra,32,0.759326082520878,0.7605724211265978
Bisson2016_algebra,33,0.7713139672661786,0.8035855786939549
Bisson2016_algebra,34,0.74419750638605,0.7876055334974698
Bisson2016_algebra,35,0.7183407390926911,0.7772495011121244
Bisson2016_algebra,36,0.7381384643769944,0.7813209496799808
Bisson2016_algebra,37,0.7107046910487825,0.7909850943635077
Bisson2016_algebra,38,0.7413293487885627,0.807050571711207
Bisson2016_algebra,39,0.7880233452555329,0.7674463037099009
Bisson2016_algebra,4,0.7067742939084278,0.7871281941298357
Bisson2016_algebra,40,0.8034312660513074,0.7769310677416604
Bisson2016_algebra,41,0.7738166985919307,0.7906559892853297
Bisson2016_algebra,42,0.8282987752556972,0.766811066701088
Bisson2016_algebra,43,0.7067742939084278,0.7871281941298357
Bisson2016_algebra,44,0.7497076815260584,0.8301460150442712
Bisson2016_algebra,45,0.6731789980036388,0.8255452178348885
Bisson2016_algebra,46,0.7524662207379323,0.7746982185090098
Bisson2016_algebra,47,0.6821092140519676,0.7879694562149078
Bisson2016_algebra,48,0.7709424774780272,0.7884995196121759
Bisson2016_algebra,49,0.7239849357349666,0.8185866720901134
Bisson2016_algebra,5,0.759326082520878,0.7605724211265978
Bisson2016_algebra,50,0.6934784483052423,0.8080977901163948
Bisson2016_algebra,51,0.6892941554433532,0.7998095092611913
Bisson2016_algebra,52,0.7381384643769944,0.769415824455391
Bisson2016_algebra,53,0.7088819455902604,0.8096635854273001
Bisson2016_algebra,54,0.7088819455902604,0.7613302938987602
Bisson2016_algebra,55,0.7067742939084278,0.7871281941298357
Bisson2016_algebra,56,0.7498079905034375,0.800868464776634
Bisson2016_algebra,57,0.6934784483052423,0.7768769228623529
Bisson2016_algebra,58,0.7724932499737959,0.7887997439569594
Bisson2016_algebra,59,0.6892941554433532,0.8232706736588038
Bisson2016_algebra,6,0.713246851856727,0.8116854343296915
Bisson2016_algebra,60,0.6840773588385329,0.7696813714465748
Bisson2016_algebra,61,0.7458370708829833,0.7854357298336778
Bisson2016_algebra,62,0.7694660022199857,0.8263326871476888
Bisson2016_algebra,63,0.8177727118455783,0.792939826500834
Bisson2016_algebra,64,0.8111630595293188,0.784978407275783
Bisson2016_algebra,65,0.7582573057387115,0.8140707950355316
Bisson2016_algebra,66,0.6731789980036388,0.8255452178348885
Bisson2016_algebra,67,0.7815723543736258,0.7992478830127905
Bisson2016_algebra,68,0.7175690922320044,0.7914513285289597
Bisson2016_algebra,69,0.7634229157812703,0.7781007870177249
Bisson2016_algebra,7,0.7496691962535689,0.8124642435408249
Bisson2016_algebra,70,0.7115488201863072,0.7970672049541914
Bisson2016_algebra,71,0.7387485091295096,0.8180969715342522
Bisson2016_algebra,72,0.7806025352853613,0.7858163763112584
Bisson2016_algebra,73,0.6892941554433532,0.8232706736588038
Bisson2016_algebra,74,0.7115488201863072,0.7970672049541914
Bisson2016_algebra,75,0.77231229658227,0.7842884541185289
Bisson2016_algebra,76,0.791117770127138,0.7799299531375075
Bisson2016_algebra,77,0.706171757607046,0.7825759581704825
Bisson2016_algebra,78,0.7387485091295096,0.7588621541001664
Bisson2016_algebra,79,0.749347889033348,0.7974119274842505
Bisson2016_algebra,8,0.7863270669273034,0.7883989589822746
Bisson2016_algebra,80,0.7413293487885627,0.7950876204641694
Bisson2016_algebra,81,0.6851214708101125,0.8031489868605389
Bisson2016_algebra,82,0.7760987113140724,0.7831483006946169
Bisson2016_algebra,83,0.7136153295364899,0.8177196690946176
Bisson2016_algebra,84,0.7387485091295096,0.8180969715342522
Bisson2016_algebra,85,0.7265722057332318,0.7964425744149217
