individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
DiGiorno,1,153,89,0,64,89,88.95098039215686,0.5813789568114828,0.2632060670223785,0.16507244513996705,0.9879840812571415,0.9883623987736958
Red Barron,4,148,82,0,66,82,81.96756756756757,0.5538349159970781,0.17629935757715587,0.1668317112923776,1.010808745041653,1.0104594202195214
Freschetta,2,151,83,0,68,83,82.97019867549669,0.5494715144072628,0.1608642837080319,0.16505563013136063,1.00600098769214,1.0059560474598046
Tombstone,5,154,68,0,86,68,68.03506493506494,0.44178613594198013,-0.19348454987158104,0.16374866231677973,0.9904168813045263,0.9906146176694582
Kroger,3,154,58,0,96,58,58.07402597402598,0.37710406476640246,-0.4068851584359853,0.16690124343609314,1.003642062943204,1.003467375782409
