name,value
Greyscaling Menu,345.867
Highlighting Menu,303.077
Transparency Menu,300.825
Rating Menu,224.55
Underlying Menu,211.75
Pushpin Menu,187.628
Fish-eye Menu,181.282
Bolding Menu,168.724
Bowing Menu,153.519
Morphing Menu,128.469
Split Menu with Replication,106.114
Patined Menu,101.13
Probability-based Menu,94.365
Prediction-by-bar Menu,92.518
Smart Menu,73.985
Frequency-based Menu,59.932
Font-changing Menu,55.256
Prediction-by-line Menu,54.794
Bubbling Menu,27.382
Blurring Menu,19.985
Split Menu without replication,14.513
Split Menu with Scrollbar,2.643
Cloud Menu,-1.342
Glowing Menu,-3.825
Pulsing Menu,-5.458
Prediction-by-scale Menu,-23.471
Time-based Menu,-24.216
Fish-eye colored menu,-25.583
Blinking Menu,-35.236
Ephemeral Menu,-35.98
Step-by-step Menu,-56.652
Rainbow menu,-57.28
In-context Appearing Menu,-63.177
Twisting Menu,-64.488
Split Menu with Arrowbar,-86.196
Out-context Disappearing Menu,-89.423
Temporal Menu,-104.849
Square Menu,-113.689
Italiczing Menu,-117.134
Heatmap Menu,-121.52
Weared Menu,-140.952
Polymodal Menu,-142.947
Tree Menu,-144.572
Prediction-by-color Menu,-147.615
Evanescent Menu,-188.985
Prediction-by-rainbow Menu,-207.167
Hyperbolic Menu,-219.1
Flower Menu,-221.602
Rotating Menu,-465.849
