name,value
5,408.534
2,278.041
10,184.54
4,124.569
14,117.053
8,104.98
7,72.436
6,64.2
3,1.862
9,-15.96
15,-42.022
1,-272.126
12,-287.536
13,-317.97
11,-420.601
