individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
Thr1.5,5,800,476,0,324,476,475.943,0.59492875,0.34788231306251416,0.07261439980916537,1.007297010933584,1.00651106188882
Thr1.25,4,800,469,0,331,469,468.94825,0.5861853124999999,0.3153790848712981,0.07240859920855099,0.9899795447773202,0.9907482217947964
Thr1.75,6,800,460,0,340,460,459.955,0.57494375,0.2738136131864919,0.07217557727727142,1.014916680836206,1.0134130342653056
Thr2,7,800,426,0,374,426,425.98049999999995,0.5324756249999999,0.11847689250848913,0.07160088034938905,1.0124539079603687,1.0113313129005244
Thr1,3,800,405,0,395,405,404.99625000000003,0.5062453125,0.023299535890997286,0.07147721626394236,0.9650638763328814,0.9659276047049159
Thr2.25,8,800,373,0,427,373,373.02025000000003,0.46627531250000004,-0.12169965047872851,0.0716205048897955,1.0066180850648445,1.0063891635583957
Thr2.5,9,800,360,0,440,360,360.03000000000003,0.45003750000000003,-0.18087782227191077,0.07179427709637688,1.012517251441157,1.0121614686596763
Thr0.75,2,800,345,0,455,345,345.04125,0.4313015625,-0.24954499336723301,0.07208021686566322,0.983342227598729,0.982993740599867
Thr0.5,1,800,286,0,514,286,286.0855,0.35760687500000005,-0.5267289734019183,0.0741737697843127,1.0104165866188717,1.0093000114951223
