individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
0416_Kinderen2.pdf,41,19,19,0,0,19,18.7,0.9842105263157894,4.162087098614916,1.8528608169886944,0.01624657794183899,0.029331927850261095
0709EMT Kinderen1.pdf,89,18,18,0,0,18,17.7,0.9833333333333333,5.301639526372974,1.9327971754313,0.018794352874747955,0.12014785025660647
N/A,136,5,5,0,0,5,4.7,0.9400000000000001,3.3551949941927774,1.9263937147982637,0.06694815599678108,0.11272436840975958
0108_Kinderen_1.pdf,8,18,17,0,1,17,16.73333333333333,0.9296296296296295,3.7347296100091536,1.3489475266828752,0.0380135441337705,0.11302860485192948
0201_Kinderen1.pdf,13,18,17,0,1,17,16.73333333333333,0.9296296296296295,3.0908051109845616,0.967153178549202,0.35324792435953367,0.8100576500933174
0208EMT_Kinderen_2.pdf,14,18,17,0,1,17,16.73333333333333,0.9296296296296295,3.2522158382340187,0.9655538119327781,0.22263827116534568,0.628578168883401
0904EMT_kinderen_1.pdf,113,18,17,0,1,17,16.73333333333333,0.9296296296296295,3.0949744531045695,0.9806870310061138,0.2660302149751755,0.7532344427581356
0914EMT_kinderen_1.pdf,123,18,17,0,1,17,16.73333333333333,0.9296296296296295,3.223194030463327,0.9547987852679265,0.31947793531046814,0.7341746190590553
0704EMT Kinderen2.pdf,85,19,17,0,2,17,16.76315789473684,0.8822714681440441,2.1031678990826554,0.7684265932925253,0.5533874329520243,0.8153623549317179
0403_Kinderen2.pdf,28,18,16,0,2,16,15.766666666666666,0.8759259259259259,2.4171142596247397,0.772816044681511,0.5906628264158594,0.8492247539755223
0405_Kinderen2.pdf,30,18,16,0,2,16,15.766666666666666,0.8759259259259259,2.6510870612107245,0.7471798353204374,1.5674624803244182,1.070658540543283
0417_Kinderen1.pdf,42,18,16,0,2,16,15.766666666666666,0.8759259259259259,2.292915489815148,0.7436720004902746,1.258672338337251,1.1308094205957187
0909EMT_kinderen_3.pdf,118,18,16,0,2,16,15.766666666666666,0.8759259259259259,1.4905185187681493,0.7785450065113866,0.6082799380264012,1.0575126941830624
0917EMT_Kinderen_2.pdf,126,18,16,0,2,16,15.766666666666666,0.8759259259259259,2.1657789550338418,0.7693032969401328,0.4189427187578007,0.8477311274506053
0214EMT_Kinderen_3.pdf,18,18,15,0,3,15,14.8,0.8222222222222223,1.7519017172983977,0.6945983485516919,0.2863137770800303,0.49486104340991305
0901EMT_Kinderen_2.pdf,110,18,15,0,3,15,14.8,0.8222222222222223,1.8622987471625974,0.7130079311941029,0.24249463354427775,0.44837426053267126
0603_Kinderen2.pdf,70,19,15,0,4,15,14.826315789473686,0.7803324099722992,1.5529413341536855,0.6408414809289285,0.6692127692286141,0.8077367146475536
0608_Kinderen2.pdf,75,19,15,0,4,15,14.826315789473686,0.7803324099722992,1.967244184966877,0.6567548480863812,0.7923729040380211,0.8245805800002385
0216EMT_Kinderen_3.pdf,20,18,14,0,4,14,13.833333333333332,0.7685185185185185,1.7741802083085736,0.71908718218847,0.3890318538314126,0.6844608663890919
0307_Kinderen_1.pdf,24,18,14,0,4,14,13.833333333333332,0.7685185185185185,1.5907601875779154,0.6418425924673543,0.5546434279527648,0.8535701618270616
0422_Kinderen2.pdf,47,18,14,0,4,14,13.833333333333332,0.7685185185185185,1.479002785940884,0.6476930700910565,0.6710387676272979,0.8002721336544127
0611_Kinderen1.pdf,77,18,14,0,4,14,13.833333333333332,0.7685185185185185,1.3138392894910569,0.6706182610511727,0.6716645004683536,0.9266168409351074
0818_Kinderen1.pdf,106,18,14,0,4,14,13.833333333333332,0.7685185185185185,1.8383372906620927,0.6555781582895066,1.5116430064855146,1.444542887477625
0905EMT_kinderen_3.pdf,114,18,14,0,4,14,13.833333333333332,0.7685185185185185,0.9543177414988533,0.6473241174725567,0.6458774800691637,0.8451773768812264
0911EMT_kinderen_1.pdf,120,18,14,0,4,14,13.833333333333332,0.7685185185185185,1.0699431623639564,0.6937215573954922,2.4473018199752037,1.3480925623874602
0913EMT_Kinderen_3.pdf,122,18,14,0,4,14,13.833333333333332,0.7685185185185185,1.282446930090236,0.6051604713496679,1.3734231054769832,1.1917927191106736
0916_Kinderen3.pdf,125,18,14,0,4,14,13.833333333333332,0.7685185185185185,2.2042076979769414,0.7112568400995815,0.6341779816416354,1.1205154975549534
1009_kinderen_3.pdf,134,18,14,0,4,14,13.833333333333332,0.7685185185185185,1.63213777224874,0.6388915927496933,0.40659941655859555,0.6292488790802258
0404_Kinderen2.pdf,29,18,13,0,5,13,12.866666666666667,0.7148148148148148,1.1817112450604443,0.6283585872984527,0.6062231696630896,0.7584606358298218
0421_Kinderen3.pdf,46,18,13,0,5,13,12.866666666666667,0.7148148148148148,1.7195986813217963,0.6270973463826194,1.0542785093369362,1.222657906805314
0706EMT Kinderen3.pdf,87,18,13,0,5,13,12.866666666666667,0.7148148148148148,1.2642150344814869,0.6546958374657061,0.4799998970861433,0.7523779137948877
0810_kinderen_1.pdf,98,18,13,0,5,13,12.866666666666667,0.7148148148148148,1.9395263592322505,0.6499076087254425,0.5732100664384566,0.8370374530967846
0813_Kinderen_3.pdf,101,18,13,0,5,13,12.866666666666667,0.7148148148148148,0.7624433137247019,0.6262542005977286,0.7313326426110975,0.8607809826402611
0814_Kinderen_1.pdf,102,18,13,0,5,13,12.866666666666667,0.7148148148148148,1.4727757623412354,0.6341048118375475,0.8089193947727016,1.0511939564374388
0102_Kinderen2.pdf,2,18,12,0,6,12,11.9,0.6611111111111111,0.24867335635235951,0.6267711560387047,0.7749683276490005,0.8349832783039709
0402_Kinderen2.pdf,27,18,12,0,6,12,11.9,0.6611111111111111,1.376512000373328,0.5892294274521707,2.643942906892089,2.0576845270560105
0413_Kinderen3.pdf,38,18,12,0,6,12,11.9,0.6611111111111111,1.1789249352881515,0.5654146454038579,0.7076435509519422,0.8893553465952436
0414_Kinderen1.pdf,39,18,12,0,6,12,11.9,0.6611111111111111,1.103650105421515,0.6404789943067494,1.072331003865865,1.2140625919357926
0425_Kinderen1.pdf,50,18,12,0,6,12,11.9,0.6611111111111111,1.1611181446289203,0.6589690679155085,0.5247842546106984,0.7054003163196138
0521_kinderen_2.pdf,67,18,12,0,6,12,11.9,0.6611111111111111,0.5592177612908222,0.5541632434326119,1.1152800844034552,1.255722779593504
0601_Kinderen3.pdf,68,18,12,0,6,12,11.9,0.6611111111111111,1.3403636397371879,0.6046618106808137,0.9439233981014729,1.0436574754461498
0910_Kinderen3.pdf,119,18,12,0,6,12,11.9,0.6611111111111111,0.6475884295353009,0.6083008673078629,0.4467565653180368,0.6318160596764031
0210EMT_Kinderen_1.pdf,15,19,12,0,7,12,11.921052631578947,0.6274238227146814,0.9268920006105488,0.5835963698006746,0.6869574784087081,0.9432992322308322
0424_Kinderen3.pdf,49,19,12,0,7,12,11.921052631578947,0.6274238227146814,0.6637606197009273,0.5335374388617083,0.5997715981271864,0.7164683507127383
0410_Kinderen3.pdf,35,18,11,0,7,11,10.933333333333334,0.6074074074074074,1.1899244415028143,0.5728664619087244,0.46201906046440666,0.6109917212736271
0604_Kinderen2.pdf,71,18,11,0,7,11,10.933333333333334,0.6074074074074074,0.4723573876982881,0.5905642151973618,0.9468313002281311,1.0619217585658973
0605_Kinderen2.pdf,72,18,11,0,7,11,10.933333333333334,0.6074074074074074,0.432843767003001,0.6722208370297337,1.0505370929353492,1.459373121650148
0615_Kinderen1.pdf,80,18,11,0,7,11,10.933333333333334,0.6074074074074074,-0.21663274755961728,0.5757451504613642,1.3898253099325204,1.2955155405085845
0804_Kinderen2.pdf,94,18,11,0,7,11,10.933333333333334,0.6074074074074074,0.1793435353881891,0.5913301842467931,0.5466071279406854,0.7259623329279987
0912EMT_kinderen_2.pdf,121,18,11,0,7,11,10.933333333333334,0.6074074074074074,1.04590008917745,0.5801413757311272,0.7993023504196405,1.058419448471256
401_Kinderen3.pdf,135,18,11,0,7,11,10.933333333333334,0.6074074074074074,-0.012835377069754081,0.5980165390619089,0.6651893086359323,0.9288543429704088
0213EMT_Kinderen_2.pdf,17,19,11,0,8,11,10.952631578947368,0.5764542936288088,0.19437999031780331,0.5378118333265095,1.2025938419666111,1.1208586352371075
0215EMT_kinderen_3.pdf,19,19,11,0,8,11,10.952631578947368,0.5764542936288088,0.4823475285210214,0.6072429423486322,1.814929571205765,1.1075983520159827
0710EMT Kinderen2.pdf,90,19,11,0,8,11,10.952631578947368,0.5764542936288088,-0.1488092932671392,0.5370420798120061,0.8672077819397678,0.9449896762187399
0803_Kinderen3.pdf,93,19,11,0,8,11,10.952631578947368,0.5764542936288088,0.46831864628686126,0.5597146730427173,0.4325004134057287,0.5551203474563567
0212EMT_Kinderen_1.pdf,16,18,10,0,8,10,9.966666666666667,0.5537037037037037,0.48454784572259857,0.5724634138500975,0.4654886993264399,0.5854064427119011
