name,value
M07,328.486
M01,326.01
M03,322.82
M12,284.001
M02,257.619
M09,251.661
M17,250.613
M14,195.78
M19,195.721
M22,188.879
M11,132.048
M04,116.492
M05,111.575
M21,70.969
M06,58.296
M18,52.101
M13,44.346
M08,25.369
M25,17.352
M32,-37.677
M30,-45.575
M15,-67.663
M27,-99.258
M33,-99.807
M20,-99.962
M10,-120.2
M26,-120.338
M16,-130.667
M28,-166.208
M36,-196.431
M23,-206.546
M24,-218.916
M29,-251.275
M34,-269.772
M31,-272.507
M37,-388.533
M35,-438.803
