individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
vanillin,5,208,153,0,55,153,152.85865384615386,0.7348973742603551,0.8846725257133855,0.1615150804993027,0.9997317906730937,0.9988787154821934
linalool,2,208,128,0,80,128,127.93076923076923,0.615051775147929,0.4264238561116714,0.15101734736653064,0.9876296982510964,0.9937855666836257
carvone,1,208,112,0,96,112,111.97692307692307,0.5383505917159763,0.14973768743582874,0.14873551323940704,0.9862063077953963,0.990300384504865
pentyl acetate,4,208,86,0,122,86,86.05192307692307,0.4137111686390532,-0.2977205996851631,0.1507847904891355,1.023136844346582,1.0240652064151803
PEA,3,208,41,0,167,41,41.18173076923077,0.19798909023668637,-1.1631134695757226,0.17647310026838814,0.9817879418615513,0.986542489193772
